Object,Close-Approach (CA) Date,CA Distance Minimum (au),V relative (m/s),Estimated Diameter(meters),Mass(Kg),Force(joules),Megatons(TNT),Damage,Extinction
(2017 RZ15),2020,0.02567,7390.0,13,20706237.179811686,76509546379.40417,54895.110463373625,Major extinction event,1
(2009 BH2),2020,0.03025,17940.0,112,13241134450.868671,118772976024291.98,35.361579212606394,Entirety of Paris destroyed,0
(2013 DU),2020,0.0219,6390.0,55,1568047433.223109,5009911549147.833,838.3381540367524,Minor extiction event,0
(2018 BM5),2020,0.029419999999999998,8610.0,8981,6827240732222686.0,2.939127135221866e+19,0.00014289956870759706,Large city block,0
(2018 BU1),2020,0.01694,10020.0,37,477393278.0468828,2391740323014.8843,1756.0434799651389,Continent exterminated,0
163373 (2002 PZ39),2020,0.0386,15190.0,550,1568047433223.1091,1.1909320255329514e+16,0.3526649640747101,Entirety of Paris destroyed,0
(2018 CW2),2020,0.004229999999999999,10220.0,26,165649897.43849352,846470975910.7019,4961.776740757473,Continent exterminated,0
(2016 CO246),2020,0.04702,5860.0,21,87282868.69469097,255738805275.4445,16423.006260142545,Major extinction event,1
(2012 DS30),2020,0.0305,5440.0,21,87282868.69469097,237409402849.55945,17690.95894934472,Major extinction event,1
(2015 BK509),2020,0.03112,12520.0,112,13241134450.868671,82889501662437.89,50.669866699213934,Mount Krakatoa comparable,0
(2017 BM123),2020,0.0268,8140.000000000001,62,2246188481.8343925,9141987121065.98,459.4187176573345,Minor extiction event,0
(2008 UB95),2020,0.04726,7630.0,37,477393278.0468828,1821255355748.8584,2306.1016604522533,Continent exterminated,0
(2012 XA133),2020,0.04453,23670.0,210,87282868694.69098,1032992751001667.8,4.0658562181848446,Entirety of Paris destroyed,0
(2010 GD35),2020,0.03907,12020.0,42,698262949.5575278,4196560326840.7417,1000.8196410610992,Continent exterminated,0
(2006 FH36),2020,0.028839999999999998,5060.0,90,6870663133.40133,17382777727505.365,241.61846086049846,Minor extiction event,0
(2015 FC35),2020,0.026680000000000002,13840.0,140,25861590724.352882,178962207812521.94,23.468642074419733,Entirety of Paris destroyed,0
363599 (2004 FG11),2020,0.0492,24490.0,210,87282868694.69098,1068778727166491.0,3.9297189336233282,Entirety of Paris destroyed,0
52768 (1998 OR2),2020,0.04205,8700.0,2993,252691875000586.4,1.0992096562525508e+18,0.0038209271326079225,Multiple city blocks,0
438908 (2009 XO),2020,0.022680000000000002,12780.0,260,165649897438.4935,1058502844631973.6,3.9678684108404823,Entirety of Paris destroyed,0
388945 (2008 TZ3),2020,0.01867,8780.0,270,185507904601.83594,814379701202059.8,5.157299468295462,Entirety of Paris destroyed,0
(2000 KA),2020,0.02271,13500.0,150,31808625617.59875,214708222918791.6,19.561430591265964,Entirety of Paris destroyed,0
478784 (2012 UV136),2020,0.021730000000000003,3570.0,26,165649897.43849352,295685066927.7109,14204.302042168458,Major extinction event,1
136795 (1997 BQ),2020,0.04115,11680.0,364,454543318571.2263,2654532980455961.0,1.5821992158027658,Entirety of Paris destroyed,0
163348 (2002 NN4),2020,0.03405,11150.0,320,308831124218.5114,1721733517518201.2,2.4394018919107205,Entirety of Paris destroyed,0
(2013 XA22),2020,0.01366,6470.0,87,6206244561.500928,20077201156455.5,209.19250483524482,Minor extiction event,0
(2017 MF7),2020,0.00234,10920.0,21,87282868.69469097,476564463073.0127,8813.078450955612,Major extinction event,1
441987 (2010 NY65),2020,0.02512,12890.0,170,46303934121.263016,298428855411540.1,14.073706090545786,Entirety of Paris destroyed,0
(2017 FW128),2020,0.008190000000000001,5450.0,7985,4798393817379585.0,1.3075623152359369e+19,0.00032120840062923884,Large city block,0
(2007 UN12),2020,0.039760000000000004,2880.0,3997,601829639084480.0,8.666346802816512e+17,0.0048463327115354105,,0
(2009 OS5),2020,0.04514,2560.0,42,698262949.5575278,893776575433.6355,4699.160970919692,Continent exterminated,0
(2016 DY30),2020,0.00511,15090.0,2006,76078845487127.02,5.740148892003733e+17,0.0073168833753611785,Levels half large city,0
(2002 BF25),2020,0.02411,6810.0,123,17538258289.52419,59717769475829.87,70.3308250938593,Mount Krakatoa comparable,0
